Wall time,Step,Value
1570112874.5815156,43518,1.0
1570112896.1415155,43553,1.0
1570112930.3485155,43607,1.0
1570112949.1685157,43639,1.0
1570112995.0885155,43711,1.0
1570113012.5175154,43738,1.0
1570113015.1385155,43742,1.0
1570113056.8745155,43805,1.0
1570113167.1655154,43976,1.0
1570113169.6665154,43980,1.0
1570113180.2475154,43993,1.0
1570113240.2765155,44073,1.0
1570113243.2565155,44077,1.0
1570113267.6235154,44113,1.0
1570113325.1275153,44200,1.0
1570113329.7095156,44207,1.0
1570113357.7165155,44251,1.0
1570113391.6415155,44304,1.0
1570113564.6385155,44585,1.0
1570113602.9915154,44645,1.0
1570113653.3005157,44729,1.0
1570113698.7885156,44802,1.0
1570113707.6255155,44816,1.0
1570113804.5115154,44964,1.0
1570113897.6345155,45104,1.0
1570114026.5665154,45310,1.0
1570114031.9255154,45319,1.0
1570114064.9365156,45372,1.0
1570114155.9995153,45507,1.0
1570114178.9065154,45543,1.0
1570114251.4035153,45658,1.0
1570114368.9205155,45839,1.0
1570114503.6455154,46033,1.0
1570114542.9595153,46090,1.0
1570114594.4955153,46169,1.0
1570114618.0235155,46205,1.0
1570114692.4285157,46318,1.0
1570114702.5965157,46334,1.0
1570114755.6725156,46413,1.0
1570114812.1365156,46499,1.0
1570114941.7675154,46696,1.0
1570115281.4545155,47198,1.0
1570115309.1405156,47241,1.0
1570115351.7465155,47301,1.0
1570115365.0465155,47321,1.0
1570115382.1495156,47347,1.0
1570115438.4575155,47437,1.0
1570115472.9685156,47489,1.0
1570115511.4225154,47549,1.0
1570115533.2075155,47585,1.0
1570115566.4645157,47638,1.0
1570115568.9475155,47642,1.0
1570115577.4135156,47655,1.0
1570115586.5665154,47669,1.0
1570115605.2375154,47693,1.0
1570115615.4355154,47705,1.0
1570115644.8165157,47744,1.0
1570115654.5895154,47758,1.0
1570115740.1375155,47882,1.0
1570115743.9995153,47888,1.0
1570115770.5405157,47929,1.0
1570115782.7025154,47947,1.0
1570115796.7075155,47970,1.0
1570115866.7575154,48076,1.0
1570115936.5715153,48181,1.0
1570115970.3805156,48227,1.0
1570116160.3775156,48514,1.0
1570116165.4335155,48522,1.0
1570116252.7555153,48650,1.0
1570116390.4235153,48844,1.0
1570116481.9995153,48982,1.0
1570116668.5785155,49272,1.0
1570116707.1855154,49326,1.0
1570116723.0185153,49351,1.0
1570116805.9605155,49477,1.0
1570116858.1325157,49558,1.0
1570116907.2195153,49619,1.0
1570116922.8325155,49638,1.0
1570117174.3875153,50006,1.0
1570117207.6945155,50056,1.0
1570117268.6585155,50149,1.0
1570117279.7465155,50165,1.0
1570117299.7915154,50195,1.0
1570117347.4945154,50268,1.0
1570117421.5575156,50382,1.0
1570117478.8225155,50470,1.0
1570117592.6675153,50629,1.0
1570117593.9735155,50631,1.0
1570117718.1545155,50819,1.0
1570117828.3265154,50979,1.0
1570117851.9795153,51015,1.0
1570117930.0665154,51134,1.0
1570117992.5965157,51227,1.0
1570118028.3755155,51282,1.0
1570118067.4985154,51342,1.0
1570118353.1985154,51750,1.0
1570118380.8695154,51794,1.0
1570118383.4585154,51798,1.0
1570118388.6905155,51806,1.0
1570118490.9995153,51954,1.0
1570118519.7995155,52001,1.0
1570118563.6775155,52067,1.0
1570118564.8855155,52069,1.0
1570118675.5565157,52237,1.0
1570118714.8435154,52292,1.0
1570118754.5885155,52353,1.0
1570118776.2565155,52387,1.0
1570118861.8145154,52510,1.0
1570118875.6445155,52528,1.0
1570118984.8375156,52682,1.0
1570119063.6275153,52802,1.0
1570119132.0115154,52906,1.0
1570119154.1695156,52939,1.0
1570119196.4155154,53003,1.0
1570119202.7325156,53013,1.0
1570119253.4535155,53092,1.0
1570119263.0045156,53107,1.0
1570119287.2805157,53144,1.0
1570119455.2075155,53401,1.0
1570119461.1245155,53409,1.0
1570119504.9305155,53468,1.0
1570119515.8825154,53482,1.0
1570119674.1615155,53706,1.0
1570119678.8475153,53713,1.0
1570119681.2005155,53717,1.0
1570119683.7335155,53721,1.0
1570119779.9065154,53862,1.0
1570119803.2885156,53895,1.0
1570119812.1615155,53906,1.0
1570119925.5765157,54072,1.0
1570119935.5815156,54087,1.0
1570119951.8125155,54108,1.0
1570119961.3505154,54123,1.0
1570120041.4005156,54241,1.0
1570120128.6545155,54368,1.0
1570120204.8275154,54466,1.0
1570120318.5535154,54625,1.0
1570120334.6185155,54647,1.0
1570120365.4935155,54691,1.0
1570120384.2255156,54719,1.0
1570120449.1495156,54807,1.0
1570120538.1785154,54937,1.0
1570120567.5205157,54982,1.0
1570120711.0995154,55193,1.0
1570120783.0145154,55299,1.0
1570120784.9125156,55302,1.0
1570120802.1035154,55328,1.0
1570120822.5405157,55359,1.0
1570120967.2065156,55538,1.0
1570120970.6465154,55543,1.0
1570120976.1545155,55551,1.0
1570121088.0665154,55713,1.0
1570121129.0105155,55766,1.0
1570121148.4615154,55795,1.0
1570121266.1695156,55966,1.0
1570121352.3145154,56091,1.0
1570121501.2915154,56304,1.0
1570121525.0315154,56337,1.0
1570121562.1585155,56379,1.0
1570121604.6915154,56432,1.0
1570121658.9025154,56507,1.0
1570121668.7385154,56521,1.0
1570121672.6405156,56528,1.0
1570121730.0595155,56608,1.0
1570121853.0925155,56787,1.0
1570121876.1495156,56820,1.0
1570121901.2745154,56856,1.0
1570121996.9915154,56999,1.0
1570122023.4455156,57036,1.0
1570122181.7995155,57261,1.0
1570122207.5145154,57299,1.0
1570122211.4605155,57305,1.0
1570122339.5015156,57469,1.0
1570122349.2105155,57484,1.0
1570122371.1185155,57518,1.0
1570122539.4175155,57760,1.0
1570122914.0475154,58295,1.0
1570122955.3215156,58346,1.0
1570123034.0565157,58440,1.0
1570123120.0035155,58556,1.0
1570123161.9815154,58611,1.0
1570123186.0295155,58641,1.0
1570123188.6715155,58645,1.0
1570123242.2845156,58719,1.0
1570123264.8175156,58746,1.0
1570123278.2655156,58763,1.0
1570123296.7875154,58788,1.0
1570123357.0235155,58872,1.0
1570123458.3485155,59014,1.0
1570123468.6905155,59030,1.0
1570123472.5735154,59036,1.0
1570123631.3895156,59264,1.0
1570123674.4815154,59311,1.0
1570123771.8425155,59432,1.0
1570123912.5075154,59624,1.0
1570123922.2825155,59640,1.0
1570123943.4525156,59670,1.0
1570123989.9675155,59737,1.0
1570123999.1875155,59751,1.0
1570124095.6315155,59889,1.0
1570124179.1255155,60008,1.0
1570124237.7175155,60086,1.0
1570124306.6685157,60179,1.0
1570124310.8505154,60185,1.0
1570124326.5155153,60207,1.0
1570124405.8255155,60297,1.0
1570124486.3225155,60398,1.0
1570124546.0625155,60475,1.0
1570124565.8205156,60503,1.0
1570124634.5085156,60596,1.0
1570124688.6285155,60671,1.0
1570124824.9105155,60871,1.0
1570125007.3625154,61122,1.0
1570125069.9215155,61205,1.0
1570125136.3445156,61276,1.0
1570125205.5095155,61373,1.0
1570125213.5045156,61385,1.0
1570125231.5795155,61413,1.0
1570125250.6315155,61438,1.0
1570125320.8285155,61534,1.0
1570125430.4235153,61680,1.0
1570125764.9585154,62139,1.0
1570125781.7805157,62165,1.0
1570125827.9955153,62219,1.0
1570126049.6745155,62516,1.0
1570126074.9945154,62547,1.0
1570126081.4085157,62555,1.0
1570126320.1415155,62874,1.0
1570126434.7945154,63024,1.0
1570126586.6315155,63220,1.0
1570126693.4935155,63358,1.0
1570126743.2655156,63428,1.0
1570126744.0875154,63429,1.0
1570126804.9865155,63513,1.0
1570126877.4175155,63614,1.0
1570126921.2375154,63671,1.0
1570127000.2585154,63781,1.0
1570127034.8845155,63833,1.0
1570127056.2065156,63865,1.0
1570127144.0715153,63988,1.0
1570127214.6855154,64081,1.0
1570127229.8335154,64098,1.0
1570127255.3745155,64129,1.0
1570127293.1875155,64173,1.0
1570127340.8465154,64225,1.0
1570127557.9715154,64511,1.0
